trip_id,service_id,trip_short_name,stop_name,time,sequence
T79WDS,WDS,T79,Tirusulam,13:34:00,14
T79WDS,WDS,T79,Pallavaram,13:37:00,15
T79WDS,WDS,T79,Chromepet,13:40:00,16
T79WDS,WDS,T79,Tambaram Sanatorium,13:43:00,17
T79WDS,WDS,T79,Tambaram,13:51:00,18
BC31WDS,WDS,BC31,Chennai Beach,13:09:00,1
BC31WDS,WDS,BC31,Chennai Fort,13:13:00,2
BC31WDS,WDS,BC31,Chennai Park,13:16:00,3
BC31WDS,WDS,BC31,Chennai Egmore,13:19:00,4
BC31WDS,WDS,BC31,Chetpet,13:23:00,5
BC31WDS,WDS,BC31,Nungambakkam,13:26:00,6
BC31WDS,WDS,BC31,Kodambakkam,13:28:00,7
BC31WDS,WDS,BC31,Mambalam,13:30:00,8
BC31WDS,WDS,BC31,Saidapet,13:33:00,9
BC31WDS,WDS,BC31,Guindy,13:36:00,10
BC31WDS,WDS,BC31,St. Thomas Mount,13:39:00,11
BC31WDS,WDS,BC31,Palavanthangal,13:42:00,12
BC31WDS,WDS,BC31,Minambakkam,13:45:00,13
BC31WDS,WDS,BC31,Tirusulam,13:47:00,14
BC31WDS,WDS,BC31,Pallavaram,13:50:00,15
BC31WDS,WDS,BC31,Chromepet,13:53:00,16
BC31WDS,WDS,BC31,Tambaram Sanatorium,13:56:00,17
BC31WDS,WDS,BC31,Tambaram,14:04:00,18
T81WDS,WDS,T81,Chennai Beach,13:22:00,1
T81WDS,WDS,T81,Chennai Fort,13:26:00,2
T81WDS,WDS,T81,Chennai Park,13:29:00,3
T81WDS,WDS,T81,Chennai Egmore,13:32:00,4
T81WDS,WDS,T81,Chetpet,13:36:00,5
T81WDS,WDS,T81,Nungambakkam,13:39:00,6
T81WDS,WDS,T81,Kodambakkam,13:41:00,7
T81WDS,WDS,T81,Mambalam,13:43:00,8
T81WDS,WDS,T81,Saidapet,13:46:00,9
T81WDS,WDS,T81,Guindy,13:49:00,10
T81WDS,WDS,T81,St. Thomas Mount,13:52:00,11
T81WDS,WDS,T81,Palavanthangal,13:55:00,12
T81WDS,WDS,T81,Minambakkam,13:58:00,13
T81WDS,WDS,T81,Tirusulam,14:00:00,14
T81WDS,WDS,T81,Pallavaram,14:03:00,15
T81WDS,WDS,T81,Chromepet,14:06:00,16
T81WDS,WDS,T81,Tambaram Sanatorium,14:09:00,17
T81WDS,WDS,T81,Tambaram,14:17:00,18
T83WDS,WDS,T83,Chennai Beach,13:35:00,1
T83WDS,WDS,T83,Chennai Fort,13:39:00,2
T83WDS,WDS,T83,Chennai Park,13:42:00,3
T83WDS,WDS,T83,Chennai Egmore,13:45:00,4
T83WDS,WDS,T83,Chetpet,13:49:00,5
T83WDS,WDS,T83,Nungambakkam,13:52:00,6
T83WDS,WDS,T83,Kodambakkam,13:54:00,7
T83WDS,WDS,T83,Mambalam,13:56:00,8
T83WDS,WDS,T83,Saidapet,13:59:00,9
T83WDS,WDS,T83,Guindy,14:02:00,10
T83WDS,WDS,T83,St. Thomas Mount,14:05:00,11
T83WDS,WDS,T83,Palavanthangal,14:08:00,12
T83WDS,WDS,T83,Minambakkam,14:11:00,13
T83WDS,WDS,T83,Tirusulam,14:13:00,14
T83WDS,WDS,T83,Pallavaram,14:16:00,15
T83WDS,WDS,T83,Chromepet,14:19:00,16
T83WDS,WDS,T83,Tambaram Sanatorium,14:22:00,17
T83WDS,WDS,T83,Tambaram,14:30:00,18
BC33WDS,WDS,BC33,Chennai Beach,13:47:00,1
BC33WDS,WDS,BC33,Chennai Fort,13:51:00,2
BC33WDS,WDS,BC33,Chennai Park,13:54:00,3
BC33WDS,WDS,BC33,Chennai Egmore,13:57:00,4
BC33WDS,WDS,BC33,Chetpet,14:01:00,5
BC33WDS,WDS,BC33,Nungambakkam,14:04:00,6
BC33WDS,WDS,BC33,Kodambakkam,14:06:00,7
BC33WDS,WDS,BC33,Mambalam,14:08:00,8
